Student,Paper,Country,Site,Latitude,Longitude,Biome,Study_Type,Experimental_Unit,Database,Response_Type,Genus,Species,Experimental_Treatment,Magnitude,Year_Sampled_Start,Year_Sampled_End,Mean_Sample_Year,Total_Years,Range_Years,Data_Thief,Method,Mean_LeafFall,LeafFall50_measured,LeafFall80_measured,LeafFall90_measured,LeafFall10_fit,LeafFall50_fit,LeafFall75_fit,LeafFall80_fit,LeafColor_50,ColorChange_10_90,LeafColor_measured,LeafFall100_meaured,LeafFall100_fit,LAI_zero,LeafFall75_measured,LeafFall_1_50_BBCH94,EddyCovariance,ColorChange_10_90,Px_40,Increase_PAR_ratio,Increase_PAR_trans,Px_0,Plateau_PAR_trans,Plateau_PAR_ratio,NDVI,NDVI_0.6,Photo_Green_Index,Photo_Peak Red_Index,SPAD,Begin_Abscisission,Pheno_Scale_4,Landsat_50cover,Chlorophyll_50,Amax_50,Peak_color_change,50_percent_green,50_percent_yellow,Zero_green,Vitasse_Date,NDII_0.2,MTCI,LeafFall87.5_measured,Reported_slope_yr,Reported_slope_C
Gallinat,Penuelas_etal_2002_GlobChangeBio,Spain,Cardedu Field Station,41,2,mediterranean,Observational,Individual Tree,TRUE,slope,Mixed,Mixed,reference,na,1952,2000,na,49,49,NO,ground_observations_leaffall,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,3.54
Gallinat,Juknys_etal_2012_BalticForestry,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Betula,pendula,reference,na,1956,2010,na,49,55,NO,ground_observation_leaffall,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.18
Gallinat,Juknys_etal_2012_BalticForestry,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Tilia,cordata,reference,na,1956,2010,na,46,55,NO,ground_observation_leaffall,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
Gallinat,Juknys_etal_2012_BalticForestry,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Betula,pendula,reference,na,1956,2010,na,49,55,NO,ground_observation_color,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.23
Gallinat,Juknys_etal_2012_BalticForestry,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Tilia,cordata,reference,na,1956,2010,na,46,55,NO,ground_observation_color,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32
Gallinat,Juknys_etal_2012_PolJEnvironStud,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Acer,platanoides,reference,na,1956,2009,na,47,54,NO,ground_observation_leaffall,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,
Gallinat,Juknys_etal_2012_PolJEnvironStud,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Betula,pendula,reference,na,1956,2009,na,48,54,NO,ground_observation_leaffall,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.232,
Gallinat,Juknys_etal_2012_PolJEnvironStud,Lithuania,Kaunas Botanical Garden,54,23,temperate,Observational,Individual Tree,TRUE,slope,Tilia,cordata,reference,na,1956,2009,na,45,54,NO,ground_observation_leaffall,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228,
Gill,Matsumoto_2010_IntJClimatol,Japan,1,43.06666667,141.3333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.237,0.51
Gill,Matsumoto_2010_IntJClimatol,Japan,2,41.81666667,140.75,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.031,0.52
